Year,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,U.S. Army Corps of Engineers,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration,Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget)
2000,2871,4057,75071,7788,281028,33476,14971,382311,13159,30781,7998,16846,31873,6687,41555,390524,47044,4229,32801,7223,283,74,12087,13428,3448,48655,-421,45121,396169,8803,2029,..........,-173019,-105586,-67433
2001,2959,4381,68071,5003,290185,35523,16319,425885,14980,33865,7743,18443,39707,7487,49231,388268,45012,4640,34131,7367,246,-309,11804,14092,3662,50894,-570,40007,421257,11386,2302,..........,-191125,-114404,-76721
2002,3187,4828,68622,5312,331845,46373,17669,465326,17570,31788,9739,21178,64686,9327,56252,371187,50868,4727,35136,7451,451,-684,13289,14405,4155,52540,493,45816,442010,16705,-651,..........,-200706,-115009,-85697
2003,3396,5127,72737,5665,388686,57145,19379,504922,31970,37410,9193,20790,69563,9343,50764,368256,56921,4682,39874,8041,386,589,13449,14610,4690,54135,1558,46333,461400,14579,-5245,..........,-210449,-117303,-93146
2004,3890,5389,71560,5829,437034,62780,19892,542982,26575,44984,8606,29601,56687,10915,54879,375844,59554,4728,41726,8328,3349,-451,13639,15152,5092,56547,4075,49008,481200,10103,-4130,..........,-212526,-114967,-97559
2005,3984,5547,85308,6147,474354,72858,21271,581390,38697,42453,9292,22361,46949,12748,56596,410240,69815,4719,43481,7913,7686,20,15024,15602,5403,59500,2502,54556,506779,16766,-1791,..........,-226213,-123436,-102777
2006,4101,5823,93533,6372,499344,93368,19649,614274,69025,42435,9037,23324,43138,12953,60139,464675,69777,6944,44435,8321,5379,24,13917,15125,5510,62400,905,53252,532491,14003,-1075,..........,-237548,-128201,-109347
2007,4294,6006,84427,6475,528578,66372,20116,671982,39156,45561,10469,23349,47544,13737,61697,490589,72792,3918,47112,8259,2956,27,12752,15861,5488,58431,1175,54917,566846,12913,5093,..........,-260206,-141904,-118302
2008,4408,6347,90795,7721,594662,65963,21400,700442,40676,49088,9817,26545,58838,17493,64944,548797,84749,5075,45785,7939,1173,343,11359,17833,5785,64393,528,58602,599197,47221,2417,..........,-277791,-150928,-126863
2009,4704,6645,114440,10718,636775,53389,23683,796267,51719,61019,11775,27711,138157,21427,73004,701775,95457,6842,57276,8070,743,319,14797,19168,5958,72302,2246,78657,648892,47631,304,..........,-274193,-142013,-132180
2010,5839,7181,129459,13236,666715,93743,30778,854059,44457,60141,13164,29556,173053,23802,77750,444338,108274,9876,54032,11007,582,861,20041,18906,6719,69915,6128,70758,683420,-7525,4700,..........,-267886,-134448,-133438
2011,4582,7296,139397,9930,678074,65484,31371,891247,45741,57004,13519,30519,131975,24354,77302,538707,126918,10138,54775,10772,484,1889,20583,17618,7146,74090,6163,155316,628878,17457,808,..........,-276478,-145398,-131080
2012,4440,7227,139717,10273,650867,57249,32484,848056,47422,49600,12891,31159,104588,26947,75149,464714,124124,7777,77313,12796,405,1753,20009,17190,7255,79457,2936,188241,632903,30021,2670,..........,-230682,-102697,-127985
2013,4316,7063,155895,9140,607800,40910,24731,886291,57217,56577,9607,29745,80307,25972,76322,399068,138464,6299,56811,9484,380,-368,19672,16975,7417,83867,477,109849,757542,28180,-1913,..........,-249450,-127632,-121818
2014,4164,6893,141808,7895,577898,59610,23638,936012,43263,38527,11279,28620,56774,27483,76174,446897,149074,6535,57370,9399,375,-767,18740,17095,7053,87917,194,81184,824587,9087,-2531,..........,-246158,-130155,-116003
2015 estimate,4899,7567,147536,9971,567702,103288,30140,1012950,45685,42390,13008,36087,52797,30521,80208,506375,160797,7463,59725,8325,401,-1178,24006,18097,7082,94672,-571,88581,865200,20265,-558,1875,-286729,-174707,-112022
2016 estimate,4794,7724,147863,10441,586478,68506,28303,1092946,46155,43896,14707,32463,56921,30189,83932,580379,179869,7595,63757,8627,472,-641,25866,18732,7487,97185,990,99495,908104,19973,-1608,-22254,-249879,-141786,-108093
2017 estimate,4969,7852,153151,9321,575087,73669,28348,1110867,46443,43574,15111,35333,57997,30567,90187,676958,180868,6731,61460,9745,861,-76,24746,18915,8605,96363,855,100012,957655,19055,1913,20563,-249907,-143510,-106397
2018 estimate,5007,8012,152653,11907,563150,80852,27611,1131418,45993,42981,16006,33900,56094,28935,94047,761724,177875,6561,59701,9268,718,-471,23435,19210,7717,99491,1065,100319,1013971,19168,1327,67855,-244204,-139736,-104468
2019 estimate,5065,8135,148559,13722,561075,88426,28359,1215288,43099,41983,15986,34387,59006,28770,95293,844885,192701,6340,65946,8528,532,87,22982,19488,7820,103363,1096,109943,1073869,21214,280,37389,-250979,-145628,-105351
2020 estimate,5113,8225,146030,17032,568339,94971,29398,1270995,41140,40642,15936,36419,60458,28528,96815,921121,201047,6208,67366,8796,515,125,23213,19688,7743,107224,1104,115529,1137271,24530,282,39289,-254725,-151995,-102730
